Time,Basis date,Validity date,City,Persist. value,EC,C3
1,03-01-16,03-01-16,Haifa,67,88,89
2,02-01-16,03-01-16,Jerusalem,92,69,63
1,03-01-16,03-01-16,Jerusalem,92,71,62
2,02-01-16,03-01-16,Lod,79,62,48
1,03-01-16,03-01-16,Lod,79,66,44
2,02-01-16,03-01-16,Mizpe Ramon,67,47,45
1,03-01-16,03-01-16,Mizpe Ramon,67,52,39
2,02-01-16,03-01-16,Nazareth,63,92,70
1,03-01-16,03-01-16,Nazareth,63,97,75
2,02-01-16,03-01-16,Qazrin,90,91,61
1,03-01-16,03-01-16,Qazrin,90,83,71
2,02-01-16,03-01-16,Tel Aviv,64,73,47
1,03-01-16,03-01-16,Tel Aviv,64,75,59
2,02-01-16,03-01-16,Tiberias,73,79,57
1,03-01-16,03-01-16,Tiberias,73,80,67
2,02-01-16,03-01-16,Zefat,88,90,80
1,03-01-16,03-01-16,Zefat,88,93,83
2,03-01-16,04-01-16,Afula,82,74,58
1,04-01-16,04-01-16,Afula,82,63,66
2,03-01-16,04-01-16,Ashdod,78,65,60
1,04-01-16,04-01-16,Ashdod,78,64,60
2,03-01-16,04-01-16,Beer Sheva,54,59,44
1,04-01-16,04-01-16,Beer Sheva,54,59,44
2,03-01-16,04-01-16,Bet Shean,68,63,44
1,04-01-16,04-01-16,Bet Shean,68,61,47
2,03-01-16,04-01-16,Elat,26,39,33
1,04-01-16,04-01-16,Elat,26,38,32
2,03-01-16,04-01-16,En Gedi,31,61,45
1,04-01-16,04-01-16,En Gedi,31,61,49
2,03-01-16,04-01-16,Haifa,90,81,70
1,04-01-16,04-01-16,Haifa,90,75,69
2,03-01-16,04-01-16,Jerusalem,77,63,59
1,04-01-16,04-01-16,Jerusalem,77,61,61
2,03-01-16,04-01-16,Lod,73,62,48
1,04-01-16,04-01-16,Lod,73,62,48
2,03-01-16,04-01-16,Mizpe Ramon,52,58,49
1,04-01-16,04-01-16,Mizpe Ramon,52,48,51
2,03-01-16,04-01-16,Nazareth,97,96,68
1,04-01-16,04-01-16,Nazareth,97,90,68
2,03-01-16,04-01-16,Qazrin,84,87,75
1,04-01-16,04-01-16,Qazrin,84,75,78
2,03-01-16,04-01-16,Tel Aviv,93,65,54
1,04-01-16,04-01-16,Tel Aviv,93,64,53
2,03-01-16,04-01-16,Tiberias,84,79,69
1,04-01-16,04-01-16,Tiberias,84,75,66
2,03-01-16,04-01-16,Zefat,99,89,82
1,04-01-16,04-01-16,Zefat,99,83,80
2,04-01-16,05-01-16,Afula,84,48,49
1,05-01-16,05-01-16,Afula,84,43,57
2,04-01-16,05-01-16,Ashdod,68,53,55
1,05-01-16,05-01-16,Ashdod,68,48,53
2,04-01-16,05-01-16,Beer Sheva,50,43,32
1,05-01-16,05-01-16,Beer Sheva,50,43,31
2,04-01-16,05-01-16,Bet Shean,80,44,42
1,05-01-16,05-01-16,Bet Shean,80,43,44
2,04-01-16,05-01-16,Elat,34,27,32
1,05-01-16,05-01-16,Elat,34,27,32
2,04-01-16,05-01-16,En Gedi,41,52,41
1,05-01-16,05-01-16,En Gedi,41,53,41
2,04-01-16,05-01-16,Haifa,71,61,69
1,05-01-16,05-01-16,Haifa,71,59,68
2,04-01-16,05-01-16,Jerusalem,77,50,43
1,05-01-16,05-01-16,Jerusalem,77,50,42
2,04-01-16,05-01-16,Lod,62,43,37
1,05-01-16,05-01-16,Lod,62,43,37
2,04-01-16,05-01-16,Mizpe Ramon,49,36,36
1,05-01-16,05-01-16,Mizpe Ramon,49,36,36
2,04-01-16,05-01-16,Nazareth,87,65,65
1,05-01-16,05-01-16,Nazareth,87,65,72
2,04-01-16,05-01-16,Qazrin,73,57,69
1,05-01-16,05-01-16,Qazrin,73,50,73
2,04-01-16,05-01-16,Tel Aviv,62,50,50
1,05-01-16,05-01-16,Tel Aviv,62,50,47
2,04-01-16,05-01-16,Tiberias,61,55,66
1,05-01-16,05-01-16,Tiberias,61,53,66
2,04-01-16,05-01-16,Zefat,99,59,77
1,05-01-16,05-01-16,Zefat,99,58,80
2,05-01-16,06-01-16,Afula,56,42,45
1,06-01-16,06-01-16,Afula,56,46,46
2,05-01-16,06-01-16,Ashdod,56,50,50
1,06-01-16,06-01-16,Ashdod,56,50,51
2,05-01-16,06-01-16,Beer Sheva,36,38,25
1,06-01-16,06-01-16,Beer Sheva,36,39,25
2,05-01-16,06-01-16,Bet Shean,43,42,47
1,06-01-16,06-01-16,Bet Shean,43,44,45
2,05-01-16,06-01-16,Elat,27,22,24
1,06-01-16,06-01-16,Elat,27,22,22
2,05-01-16,06-01-16,En Gedi,27,47,38
1,06-01-16,06-01-16,En Gedi,27,46,43
2,05-01-16,06-01-16,Haifa,63,59,51
1,06-01-16,06-01-16,Haifa,63,57,52
2,05-01-16,06-01-16,Jerusalem,50,44,43
1,06-01-16,06-01-16,Jerusalem,50,46,33
2,05-01-16,06-01-16,Lod,44,39,30
1,06-01-16,06-01-16,Lod,44,41,33
2,05-01-16,06-01-16,Mizpe Ramon,36,30,31
1,06-01-16,06-01-16,Mizpe Ramon,36,30,30
2,05-01-16,06-01-16,Nazareth,70,58,49
1,06-01-16,06-01-16,Nazareth,70,57,49
2,05-01-16,06-01-16,Qazrin,65,54,63
1,06-01-16,06-01-16,Qazrin,65,52,61
2,05-01-16,06-01-16,Tel Aviv,49,45,43
1,06-01-16,06-01-16,Tel Aviv,49,44,44
2,05-01-16,06-01-16,Tiberias,60,52,55
1,06-01-16,06-01-16,Tiberias,60,51,50
2,05-01-16,06-01-16,Zefat,95,55,59
1,06-01-16,06-01-16,Zefat,95,54,58
2,06-01-16,07-01-16,Afula,49,48,40
1,07-01-16,07-01-16,Afula,49,50,41
2,06-01-16,07-01-16,Ashdod,52,58,52
1,07-01-16,07-01-16,Ashdod,52,62,51
2,06-01-16,07-01-16,Beer Sheva,30,43,18
1,07-01-16,07-01-16,Beer Sheva,30,39,17
2,06-01-16,07-01-16,Bet Shean,39,47,41
1,07-01-16,07-01-16,Bet Shean,39,47,43
2,06-01-16,07-01-16,Elat,21,28,24
1,07-01-16,07-01-16,Elat,21,30,30
2,06-01-16,07-01-16,En Gedi,32,51,42
1,07-01-16,07-01-16,En Gedi,32,51,47
2,06-01-16,07-01-16,Haifa,57,57,44
1,07-01-16,07-01-16,Haifa,57,58,41
2,06-01-16,07-01-16,Jerusalem,39,46,34
1,07-01-16,07-01-16,Jerusalem,39,44,31
2,06-01-16,07-01-16,Lod,36,40,25
1,07-01-16,07-01-16,Lod,36,41,26
2,06-01-16,07-01-16,Mizpe Ramon,31,30,19
1,07-01-16,07-01-16,Mizpe Ramon,31,20,17
2,06-01-16,07-01-16,Nazareth,51,47,45
1,07-01-16,07-01-16,Nazareth,51,47,45
2,06-01-16,07-01-16,Qazrin,46,46,44
1,07-01-16,07-01-16,Qazrin,46,46,45
2,06-01-16,07-01-16,Tel Aviv,43,46,46
1,07-01-16,07-01-16,Tel Aviv,43,49,36
2,06-01-16,07-01-16,Tiberias,52,46,46
1,07-01-16,07-01-16,Tiberias,52,47,51
2,06-01-16,07-01-16,Zefat,67,45,53
1,07-01-16,07-01-16,Zefat,67,45,53
2,07-01-16,08-01-16,Afula,62,92,78
1,08-01-16,08-01-16,Afula,62,89,84
2,07-01-16,08-01-16,Ashdod,61,83,75
1,08-01-16,08-01-16,Ashdod,61,77,77
2,07-01-16,08-01-16,Beer Sheva,30,56,51
1,08-01-16,08-01-16,Beer Sheva,30,62,49
2,07-01-16,08-01-16,Bet Shean,61,82,61
1,08-01-16,08-01-16,Bet Shean,61,87,65
2,07-01-16,08-01-16,Elat,33,36,37
1,08-01-16,08-01-16,Elat,33,38,33
2,07-01-16,08-01-16,En Gedi,44,61,45
1,08-01-16,08-01-16,En Gedi,44,60,43
2,07-01-16,08-01-16,Haifa,47,82,96
1,08-01-16,08-01-16,Haifa,47,80,83
2,07-01-16,08-01-16,Jerusalem,42,81,84
1,08-01-16,08-01-16,Jerusalem,42,81,69
2,07-01-16,08-01-16,Lod,40,89,78
1,08-01-16,08-01-16,Lod,40,83,70
2,07-01-16,08-01-16,Mizpe Ramon,19,51,45
1,08-01-16,08-01-16,Mizpe Ramon,19,49,53
2,07-01-16,08-01-16,Nazareth,49,91,82
1,08-01-16,08-01-16,Nazareth,49,92,57
2,07-01-16,08-01-16,Qazrin,55,87,90
1,08-01-16,08-01-16,Qazrin,55,92,89
2,07-01-16,08-01-16,Tel Aviv,44,86,83
1,08-01-16,08-01-16,Tel Aviv,44,87,77
2,07-01-16,08-01-16,Tiberias,49,89,79
1,08-01-16,08-01-16,Tiberias,49,91,89
2,07-01-16,08-01-16,Zefat,57,89,77
1,08-01-16,08-01-16,Zefat,57,91,89
2,08-01-16,09-01-16,Afula,90,64,39
1,09-01-16,09-01-16,Afula,90,57,37
2,08-01-16,09-01-16,Ashdod,80,53,50
1,09-01-16,09-01-16,Ashdod,80,54,54
2,08-01-16,09-01-16,Beer Sheva,50,53,40
1,09-01-16,09-01-16,Beer Sheva,50,55,44
2,08-01-16,09-01-16,Bet Shean,87,67,38
1,09-01-16,09-01-16,Bet Shean,87,54,45
2,08-01-16,09-01-16,Elat,32,43,38
1,09-01-16,09-01-16,Elat,32,42,31
2,08-01-16,09-01-16,En Gedi,33,75,41
1,09-01-16,09-01-16,En Gedi,33,73,32
2,08-01-16,09-01-16,Haifa,92,69,52
1,09-01-16,09-01-16,Haifa,92,65,47
2,08-01-16,09-01-16,Jerusalem,74,61,40
1,09-01-16,09-01-16,Jerusalem,74,59,44
2,08-01-16,09-01-16,Lod,66,52,36
1,09-01-16,09-01-16,Lod,66,55,37
2,08-01-16,09-01-16,Mizpe Ramon,53,60,42
1,09-01-16,09-01-16,Mizpe Ramon,53,61,45
2,08-01-16,09-01-16,Nazareth,98,61,40
1,09-01-16,09-01-16,Nazareth,98,57,40
2,08-01-16,09-01-16,Qazrin,97,65,67
1,09-01-16,09-01-16,Qazrin,97,71,67
2,08-01-16,09-01-16,Tel Aviv,71,52,40
1,09-01-16,09-01-16,Tel Aviv,71,53,43
2,08-01-16,09-01-16,Tiberias,87,75,62
1,09-01-16,09-01-16,Tiberias,87,66,63
2,08-01-16,09-01-16,Zefat,95,68,50
1,09-01-16,09-01-16,Zefat,95,61,51
2,09-01-16,10-01-16,Afula,55,51,53
1,10-01-16,10-01-16,Afula,55,58,53
2,09-01-16,10-01-16,Ashdod,61,66,69
1,10-01-16,10-01-16,Ashdod,61,61,66
2,09-01-16,10-01-16,Beer Sheva,47,51,43
1,10-01-16,10-01-16,Beer Sheva,47,51,44
2,09-01-16,10-01-16,Bet Shean,58,54,49
1,10-01-16,10-01-16,Bet Shean,58,54,50
2,09-01-16,10-01-16,Elat,31,28,28
1,10-01-16,10-01-16,Elat,31,31,29
2,09-01-16,10-01-16,En Gedi,28,64,51
1,10-01-16,10-01-16,En Gedi,28,63,56
2,09-01-16,10-01-16,Haifa,59,60,58
1,10-01-16,10-01-16,Haifa,59,54,58
2,09-01-16,10-01-16,Jerusalem,70,57,55
1,10-01-16,10-01-16,Jerusalem,70,56,56
2,09-01-16,10-01-16,Lod,55,51,44
1,10-01-16,10-01-16,Lod,55,50,42
2,09-01-16,10-01-16,Mizpe Ramon,59,46,43
1,10-01-16,10-01-16,Mizpe Ramon,59,45,43
2,09-01-16,10-01-16,Nazareth,58,63,56
1,10-01-16,10-01-16,Nazareth,58,68,54
2,09-01-16,10-01-16,Qazrin,67,62,66
1,10-01-16,10-01-16,Qazrin,67,60,66
2,09-01-16,10-01-16,Tel Aviv,58,53,62
1,10-01-16,10-01-16,Tel Aviv,58,53,61
2,09-01-16,10-01-16,Tiberias,59,59,59
1,10-01-16,10-01-16,Tiberias,59,61,62
2,09-01-16,10-01-16,Zefat,70,60,64
1,10-01-16,10-01-16,Zefat,70,64,61
2,10-01-16,11-01-16,Afula,64,45,46
1,11-01-16,11-01-16,Afula,64,43,45
2,10-01-16,11-01-16,Ashdod,59,74,68
1,11-01-16,11-01-16,Ashdod,59,72,64
2,10-01-16,11-01-16,Beer Sheva,41,58,32
1,11-01-16,11-01-16,Beer Sheva,41,58,34
2,10-01-16,11-01-16,Bet Shean,58,47,42
1,11-01-16,11-01-16,Bet Shean,58,45,42
2,10-01-16,11-01-16,Elat,31,29,36
1,11-01-16,11-01-16,Elat,31,31,37
2,10-01-16,11-01-16,En Gedi,49,64,48
1,11-01-16,11-01-16,En Gedi,49,65,51
2,10-01-16,11-01-16,Haifa,71,57,51
1,11-01-16,11-01-16,Haifa,71,51,45
2,10-01-16,11-01-16,Jerusalem,60,55,42
1,11-01-16,11-01-16,Jerusalem,60,55,44
2,10-01-16,11-01-16,Lod,45,55,55
1,11-01-16,11-01-16,Lod,45,58,60
2,10-01-16,11-01-16,Mizpe Ramon,52,38,33
1,11-01-16,11-01-16,Mizpe Ramon,52,40,33
2,10-01-16,11-01-16,Nazareth,62,51,48
1,11-01-16,11-01-16,Nazareth,62,52,42
2,10-01-16,11-01-16,Qazrin,68,53,52
1,11-01-16,11-01-16,Qazrin,68,47,43
2,10-01-16,11-01-16,Tel Aviv,57,61,64
1,11-01-16,11-01-16,Tel Aviv,57,59,66
2,10-01-16,11-01-16,Tiberias,61,49,52
1,11-01-16,11-01-16,Tiberias,61,50,49
2,10-01-16,11-01-16,Zefat,80,47,52
1,11-01-16,11-01-16,Zefat,80,46,46
2,11-01-16,12-01-16,Afula,55,46,37
1,12-01-16,12-01-16,Afula,55,47,41
2,11-01-16,12-01-16,Ashdod,82,75,69
1,12-01-16,12-01-16,Ashdod,82,75,48
2,11-01-16,12-01-16,Beer Sheva,52,57,42
1,12-01-16,12-01-16,Beer Sheva,52,57,29
2,11-01-16,12-01-16,Bet Shean,58,46,42
1,12-01-16,12-01-16,Bet Shean,58,47,38
2,11-01-16,12-01-16,Elat,38,38,42
1,12-01-16,12-01-16,Elat,38,39,28
2,11-01-16,12-01-16,En Gedi,46,62,53
1,12-01-16,12-01-16,En Gedi,46,65,44
2,11-01-16,12-01-16,Haifa,59,64,40
1,12-01-16,12-01-16,Haifa,59,59,44
2,11-01-16,12-01-16,Jerusalem,62,60,42
1,12-01-16,12-01-16,Jerusalem,62,61,27
2,11-01-16,12-01-16,Lod,67,54,41
1,12-01-16,12-01-16,Lod,67,55,30
2,11-01-16,12-01-16,Mizpe Ramon,36,46,45
1,12-01-16,12-01-16,Mizpe Ramon,36,49,29
2,11-01-16,12-01-16,Nazareth,58,58,38
1,12-01-16,12-01-16,Nazareth,58,61,41
2,11-01-16,12-01-16,Qazrin,60,53,51
1,12-01-16,12-01-16,Qazrin,60,48,46
2,11-01-16,12-01-16,Tel Aviv,77,58,46
1,12-01-16,12-01-16,Tel Aviv,77,57,34
2,11-01-16,12-01-16,Tiberias,59,51,49
1,12-01-16,12-01-16,Tiberias,59,53,57
2,11-01-16,12-01-16,Zefat,70,52,47
1,12-01-16,12-01-16,Zefat,70,53,42
2,12-01-16,13-01-16,Afula,46,49,44
1,13-01-16,13-01-16,Afula,46,49,41
2,12-01-16,13-01-16,Ashdod,64,82,62
1,13-01-16,13-01-16,Ashdod,64,80,70
2,12-01-16,13-01-16,Beer Sheva,52,54,28
1,13-01-16,13-01-16,Beer Sheva,52,52,36
2,12-01-16,13-01-16,Bet Shean,51,53,41
1,13-01-16,13-01-16,Bet Shean,51,54,45
2,12-01-16,13-01-16,Elat,40,28,27
1,13-01-16,13-01-16,Elat,40,27,32
2,12-01-16,13-01-16,En Gedi,44,66,48
1,13-01-16,13-01-16,En Gedi,44,66,57
2,12-01-16,13-01-16,Haifa,43,55,41
1,13-01-16,13-01-16,Haifa,43,61,41
2,12-01-16,13-01-16,Jerusalem,50,54,34
1,13-01-16,13-01-16,Jerusalem,50,53,36
2,12-01-16,13-01-16,Lod,44,60,41
1,13-01-16,13-01-16,Lod,44,61,39
2,12-01-16,13-01-16,Mizpe Ramon,42,37,25
1,13-01-16,13-01-16,Mizpe Ramon,42,35,33
2,12-01-16,13-01-16,Nazareth,44,52,43
1,13-01-16,13-01-16,Nazareth,44,51,41
2,12-01-16,13-01-16,Qazrin,50,48,42
1,13-01-16,13-01-16,Qazrin,50,48,41
2,12-01-16,13-01-16,Tel Aviv,45,66,63
1,13-01-16,13-01-16,Tel Aviv,45,62,50
2,12-01-16,13-01-16,Tiberias,53,44,47
1,13-01-16,13-01-16,Tiberias,53,43,57
2,12-01-16,13-01-16,Zefat,58,48,45
1,13-01-16,13-01-16,Zefat,58,47,44
2,13-01-16,14-01-16,Afula,49,65,59
1,14-01-16,14-01-16,Afula,49,73,63
2,13-01-16,14-01-16,Ashdod,83,77,81
1,14-01-16,14-01-16,Ashdod,83,78,82
2,13-01-16,14-01-16,Beer Sheva,37,69,53
1,14-01-16,14-01-16,Beer Sheva,37,67,50
2,13-01-16,14-01-16,Bet Shean,53,62,47
1,14-01-16,14-01-16,Bet Shean,53,72,51
2,13-01-16,14-01-16,Elat,31,31,30
1,14-01-16,14-01-16,Elat,31,33,32
2,13-01-16,14-01-16,En Gedi,46,48,47
1,14-01-16,14-01-16,En Gedi,46,47,54
2,13-01-16,14-01-16,Haifa,49,74,76
1,14-01-16,14-01-16,Haifa,49,72,87
2,13-01-16,14-01-16,Jerusalem,42,62,63
1,14-01-16,14-01-16,Jerusalem,42,65,66
2,13-01-16,14-01-16,Lod,63,80,59
1,14-01-16,14-01-16,Lod,63,82,59
2,13-01-16,14-01-16,Mizpe Ramon,35,42,49
1,14-01-16,14-01-16,Mizpe Ramon,35,43,52
2,13-01-16,14-01-16,Nazareth,43,77,73
1,14-01-16,14-01-16,Nazareth,43,75,69
2,13-01-16,14-01-16,Qazrin,37,79,79
1,14-01-16,14-01-16,Qazrin,37,77,76
2,13-01-16,14-01-16,Tel Aviv,72,77,73
1,14-01-16,14-01-16,Tel Aviv,72,76,76
2,13-01-16,14-01-16,Tiberias,65,78,67
1,14-01-16,14-01-16,Tiberias,65,76,65
2,13-01-16,14-01-16,Zefat,47,81,86
1,14-01-16,14-01-16,Zefat,47,84,96
2,14-01-16,15-01-16,Afula,75,48,56
1,15-01-16,15-01-16,Afula,75,44,57
2,14-01-16,15-01-16,Ashdod,90,55,74
1,15-01-16,15-01-16,Ashdod,90,54,65
2,14-01-16,15-01-16,Beer Sheva,55,55,44
1,15-01-16,15-01-16,Beer Sheva,55,53,34
2,14-01-16,15-01-16,Bet Shean,66,49,50
1,15-01-16,15-01-16,Bet Shean,66,42,55
2,14-01-16,15-01-16,Elat,30,44,36
1,15-01-16,15-01-16,Elat,30,43,39
2,14-01-16,15-01-16,En Gedi,46,76,48
1,15-01-16,15-01-16,En Gedi,46,75,46
2,14-01-16,15-01-16,Haifa,93,56,54
1,15-01-16,15-01-16,Haifa,93,54,52
2,14-01-16,15-01-16,Jerusalem,65,64,59
1,15-01-16,15-01-16,Jerusalem,65,58,59
2,14-01-16,15-01-16,Lod,70,54,34
1,15-01-16,15-01-16,Lod,70,52,34
2,14-01-16,15-01-16,Mizpe Ramon,40,49,45
1,15-01-16,15-01-16,Mizpe Ramon,40,53,49
2,14-01-16,15-01-16,Nazareth,90,55,61
1,15-01-16,15-01-16,Nazareth,90,48,56
2,14-01-16,15-01-16,Qazrin,86,57,56
1,15-01-16,15-01-16,Qazrin,86,56,68
2,14-01-16,15-01-16,Tel Aviv,79,51,59
1,15-01-16,15-01-16,Tel Aviv,79,47,53
2,14-01-16,15-01-16,Tiberias,72,57,62
1,15-01-16,15-01-16,Tiberias,72,54,64
2,14-01-16,15-01-16,Zefat,99,53,73
1,15-01-16,15-01-16,Zefat,99,50,67
2,15-01-16,16-01-16,Afula,41,51,46
1,16-01-16,16-01-16,Afula,41,51,46
2,15-01-16,16-01-16,Ashdod,64,64,73
1,16-01-16,16-01-16,Ashdod,64,65,74
2,15-01-16,16-01-16,Beer Sheva,43,45,43
1,16-01-16,16-01-16,Beer Sheva,43,46,40
2,15-01-16,16-01-16,Bet Shean,50,55,44
1,16-01-16,16-01-16,Bet Shean,50,48,43
2,15-01-16,16-01-16,Elat,35,34,33
1,16-01-16,16-01-16,Elat,35,37,34
2,15-01-16,16-01-16,En Gedi,41,56,37
1,16-01-16,16-01-16,En Gedi,41,55,35
2,15-01-16,16-01-16,Haifa,53,47,50
1,16-01-16,16-01-16,Haifa,53,48,50
2,15-01-16,16-01-16,Jerusalem,69,49,52
1,16-01-16,16-01-16,Jerusalem,69,49,50
2,15-01-16,16-01-16,Lod,51,42,41
1,16-01-16,16-01-16,Lod,51,42,38
2,15-01-16,16-01-16,Mizpe Ramon,57,42,49
1,16-01-16,16-01-16,Mizpe Ramon,57,43,47
2,15-01-16,16-01-16,Nazareth,52,46,44
1,16-01-16,16-01-16,Nazareth,52,44,43
2,15-01-16,16-01-16,Qazrin,52,48,49
1,16-01-16,16-01-16,Qazrin,52,48,49
2,15-01-16,16-01-16,Tel Aviv,51,45,50
1,16-01-16,16-01-16,Tel Aviv,51,49,47
2,15-01-16,16-01-16,Tiberias,47,40,46
1,16-01-16,16-01-16,Tiberias,47,47,69
2,15-01-16,16-01-16,Zefat,71,42,52
1,16-01-16,16-01-16,Zefat,71,44,48
2,16-01-16,17-01-16,Afula,40,47,40
1,17-01-16,17-01-16,Afula,40,46,41
2,16-01-16,17-01-16,Ashdod,63,67,62
1,17-01-16,17-01-16,Ashdod,63,65,59
2,16-01-16,17-01-16,Beer Sheva,33,41,30
1,17-01-16,17-01-16,Beer Sheva,33,42,30
2,16-01-16,17-01-16,Bet Shean,41,52,39
1,17-01-16,17-01-16,Bet Shean,41,45,41
2,16-01-16,17-01-16,Elat,34,39,45
1,17-01-16,17-01-16,Elat,34,40,49
2,16-01-16,17-01-16,En Gedi,37,58,52
1,17-01-16,17-01-16,En Gedi,37,57,51
2,16-01-16,17-01-16,Haifa,44,48,47
1,17-01-16,17-01-16,Haifa,44,48,48
2,16-01-16,17-01-16,Jerusalem,47,53,49
1,17-01-16,17-01-16,Jerusalem,47,52,45
2,16-01-16,17-01-16,Lod,50,53,40
1,17-01-16,17-01-16,Lod,50,53,37
2,16-01-16,17-01-16,Mizpe Ramon,41,29,39
1,17-01-16,17-01-16,Mizpe Ramon,41,28,39
2,16-01-16,17-01-16,Nazareth,45,49,46
1,17-01-16,17-01-16,Nazareth,45,45,46
2,16-01-16,17-01-16,Qazrin,43,53,47
1,17-01-16,17-01-16,Qazrin,43,53,47
2,16-01-16,17-01-16,Tel Aviv,52,60,54
1,17-01-16,17-01-16,Tel Aviv,52,59,50
2,16-01-16,17-01-16,Tiberias,47,45,46
1,17-01-16,17-01-16,Tiberias,47,43,47
2,16-01-16,17-01-16,Zefat,58,46,55
1,17-01-16,17-01-16,Zefat,58,45,55
2,17-01-16,18-01-16,Afula,41,38,33
1,18-01-16,18-01-16,Afula,41,39,33
2,17-01-16,18-01-16,Ashdod,66,44,51
1,18-01-16,18-01-16,Ashdod,66,46,55
2,17-01-16,18-01-16,Beer Sheva,25,32,22
1,18-01-16,18-01-16,Beer Sheva,25,32,21
2,17-01-16,18-01-16,Bet Shean,45,37,26
1,18-01-16,18-01-16,Bet Shean,45,33,28
2,17-01-16,18-01-16,Elat,37,15,18
1,18-01-16,18-01-16,Elat,37,17,10
2,17-01-16,18-01-16,En Gedi,41,26,18
1,18-01-16,18-01-16,En Gedi,41,26,18
2,17-01-16,18-01-16,Haifa,43,51,42
1,18-01-16,18-01-16,Haifa,43,51,45
2,17-01-16,18-01-16,Jerusalem,41,34,30
1,18-01-16,18-01-16,Jerusalem,41,34,28
2,17-01-16,18-01-16,Lod,55,39,37
1,18-01-16,18-01-16,Lod,55,40,37
2,17-01-16,18-01-16,Mizpe Ramon,31,22,23
1,18-01-16,18-01-16,Mizpe Ramon,31,21,20
2,17-01-16,18-01-16,Nazareth,43,54,32
1,18-01-16,18-01-16,Nazareth,43,47,34
2,17-01-16,18-01-16,Qazrin,43,48,35
1,18-01-16,18-01-16,Qazrin,43,42,33
2,17-01-16,18-01-16,Tel Aviv,65,44,43
1,18-01-16,18-01-16,Tel Aviv,65,46,46
2,17-01-16,18-01-16,Tiberias,41,42,32
1,18-01-16,18-01-16,Tiberias,41,42,33
2,17-01-16,18-01-16,Zefat,54,47,45
1,18-01-16,18-01-16,Zefat,54,48,41
2,18-01-16,19-01-16,Afula,48,89,81
1,19-01-16,19-01-16,Afula,48,81,78
2,18-01-16,19-01-16,Ashdod,58,71,66
1,19-01-16,19-01-16,Ashdod,58,70,68
2,18-01-16,19-01-16,Beer Sheva,23,49,41
1,19-01-16,19-01-16,Beer Sheva,23,51,39
2,18-01-16,19-01-16,Bet Shean,39,78,73
1,19-01-16,19-01-16,Bet Shean,39,78,49
2,18-01-16,19-01-16,Elat,27,30,36
1,19-01-16,19-01-16,Elat,27,30,40
2,18-01-16,19-01-16,En Gedi,14,41,36
1,19-01-16,19-01-16,En Gedi,14,41,35
2,18-01-16,19-01-16,Haifa,58,85,65
1,19-01-16,19-01-16,Haifa,58,77,62
2,18-01-16,19-01-16,Jerusalem,41,72,61
1,19-01-16,19-01-16,Jerusalem,41,74,56
2,18-01-16,19-01-16,Lod,42,82,62
1,19-01-16,19-01-16,Lod,42,79,60
2,18-01-16,19-01-16,Mizpe Ramon,18,40,45
1,19-01-16,19-01-16,Mizpe Ramon,18,41,45
2,18-01-16,19-01-16,Nazareth,57,89,58
1,19-01-16,19-01-16,Nazareth,57,83,76
2,18-01-16,19-01-16,Qazrin,51,94,88
