validityDate,city,observedMaxTemp
21/01/2016,Ashdod,17
21/01/2016,Beer Sheva,20
21/01/2016,Bet Shean,20
21/01/2016,Elat,20
21/01/2016,En Gedi,21
21/01/2016,Haifa,17
21/01/2016,Jerusalem,15
21/01/2016,Lod,19
21/01/2016,Mizpe Ramon,14
21/01/2016,Nazareth,16
21/01/2016,Qazrin,16
21/01/2016,Tel Aviv,18
21/01/2016,Tiberias,21
21/01/2016,Zefat,11
22/01/2016,Afula,19
22/01/2016,Ashdod,18
22/01/2016,Beer Sheva,18
22/01/2016,Bet Shean,20
22/01/2016,Elat,21
22/01/2016,En Gedi,20
22/01/2016,Haifa,18
22/01/2016,Jerusalem,15
22/01/2016,Lod,18
22/01/2016,Mizpe Ramon,14
22/01/2016,Nazareth,16
22/01/2016,Qazrin,17
22/01/2016,Tel Aviv,18
22/01/2016,Tiberias,18
22/01/2016,Zefat,12
23/01/2016,Afula,16
23/01/2016,Ashdod,17
23/01/2016,Beer Sheva,14
23/01/2016,Bet Shean,15
23/01/2016,Elat,21
23/01/2016,En Gedi,21
23/01/2016,Haifa,16
23/01/2016,Jerusalem,10
23/01/2016,Lod,15
23/01/2016,Mizpe Ramon,11
23/01/2016,Nazareth,14
23/01/2016,Qazrin,13
23/01/2016,Tel Aviv,15
23/01/2016,Tiberias,17
23/01/2016,Zefat,10
24/01/2016,Afula,14
24/01/2016,Ashdod,15
24/01/2016,Beer Sheva,12
24/01/2016,Bet Shean,15
24/01/2016,Elat,18
24/01/2016,En Gedi,20
24/01/2016,Haifa,12
24/01/2016,Jerusalem,5
24/01/2016,Lod,14
24/01/2016,Mizpe Ramon,9
24/01/2016,Nazareth,10
24/01/2016,Qazrin,9
24/01/2016,Tel Aviv,14
24/01/2016,Tiberias,15
24/01/2016,Zefat,6
25/01/2016,Afula,11
25/01/2016,Ashdod,13
25/01/2016,Beer Sheva,7
25/01/2016,Bet Shean,12
25/01/2016,Elat,17
25/01/2016,En Gedi,16
25/01/2016,Haifa,10
25/01/2016,Jerusalem,4
25/01/2016,Lod,11
25/01/2016,Mizpe Ramon,8
25/01/2016,Nazareth,8
25/01/2016,Qazrin,8
25/01/2016,Tel Aviv,11
25/01/2016,Tiberias,14
25/01/2016,Zefat,3
26/01/2016,Afula,9
26/01/2016,Ashdod,12
26/01/2016,Beer Sheva,8
26/01/2016,Bet Shean,9
26/01/2016,Elat,17
26/01/2016,En Gedi,16
26/01/2016,Haifa,6
26/01/2016,Jerusalem,2
26/01/2016,Lod,10
26/01/2016,Mizpe Ramon,8
26/01/2016,Nazareth,6
26/01/2016,Qazrin,7
26/01/2016,Tel Aviv,9
26/01/2016,Tiberias,10
26/01/2016,Zefat,2
27/01/2016,Afula,13
27/01/2016,Ashdod,12
27/01/2016,Beer Sheva,11
27/01/2016,Bet Shean,14
27/01/2016,Elat,14
27/01/2016,En Gedi,14
27/01/2016,Haifa,11
27/01/2016,Jerusalem,6
27/01/2016,Lod,12
27/01/2016,Mizpe Ramon,7
27/01/2016,Nazareth,10
27/01/2016,Qazrin,10
27/01/2016,Tel Aviv,13
27/01/2016,Tiberias,14
27/01/2016,Zefat,4
28/01/2016,Afula,13
28/01/2016,Ashdod,13
28/01/2016,Beer Sheva,12
28/01/2016,Bet Shean,13
28/01/2016,Elat,16
28/01/2016,En Gedi,15
28/01/2016,Haifa,11
28/01/2016,Jerusalem,7
28/01/2016,Lod,12
28/01/2016,Mizpe Ramon,7
28/01/2016,Nazareth,10
28/01/2016,Qazrin,9
28/01/2016,Tel Aviv,12
28/01/2016,Tiberias,13
28/01/2016,Zefat,6
29/01/2016,Afula,16
29/01/2016,Ashdod,14
29/01/2016,Beer Sheva,13
29/01/2016,Bet Shean,16
29/01/2016,Elat,18
29/01/2016,En Gedi,17
29/01/2016,Haifa,14
29/01/2016,Jerusalem,9
29/01/2016,Lod,14
29/01/2016,Mizpe Ramon,8
29/01/2016,Nazareth,13
29/01/2016,Qazrin,12
29/01/2016,Tel Aviv,14
29/01/2016,Tiberias,15
29/01/2016,Zefat,9
30/01/2016,Afula,17
30/01/2016,Ashdod,16
30/01/2016,Beer Sheva,17
30/01/2016,Bet Shean,17
30/01/2016,Elat,21
30/01/2016,En Gedi,18
30/01/2016,Haifa,16
30/01/2016,Jerusalem,12
30/01/2016,Lod,16
30/01/2016,Mizpe Ramon,12
30/01/2016,Nazareth,15
30/01/2016,Qazrin,15
30/01/2016,Tel Aviv,17
30/01/2016,Tiberias,17
30/01/2016,Zefat,11
31/01/2016,Afula,19
31/01/2016,Ashdod,17
31/01/2016,Beer Sheva,18
31/01/2016,Bet Shean,19
31/01/2016,Elat,20
31/01/2016,En Gedi,19
31/01/2016,Haifa,18
31/01/2016,Jerusalem,14
31/01/2016,Lod,17
31/01/2016,Mizpe Ramon,15
31/01/2016,Nazareth,17
31/01/2016,Qazrin,18
31/01/2016,Tel Aviv,17
31/01/2016,Tiberias,19
31/01/2016,Zefat,12
01/02/2016,Afula,19
01/02/2016,Ashdod,17
01/02/2016,Beer Sheva,19
01/02/2016,Bet Shean,18
01/02/2016,Elat,21
01/02/2016,En Gedi,21
01/02/2016,Haifa,17
01/02/2016,Jerusalem,16
01/02/2016,Lod,17
01/02/2016,Mizpe Ramon,16
01/02/2016,Nazareth,16
01/02/2016,Qazrin,16
01/02/2016,Tel Aviv,17
01/02/2016,Tiberias,18
01/02/2016,Zefat,12
02/02/2016,Afula,19
02/02/2016,Ashdod,18
02/02/2016,Beer Sheva,18
02/02/2016,Bet Shean,19
02/02/2016,Elat,21
02/02/2016,En Gedi,21
02/02/2016,Haifa,16
02/02/2016,Jerusalem,13
02/02/2016,Lod,19
02/02/2016,Mizpe Ramon,14
02/02/2016,Nazareth,16
02/02/2016,Qazrin,16
02/02/2016,Tel Aviv,18
02/02/2016,Tiberias,19
02/02/2016,Zefat,13
03/02/2016,Afula,21
03/02/2016,Ashdod,19
03/02/2016,Beer Sheva,21
03/02/2016,Bet Shean,23
03/02/2016,Elat,23
03/02/2016,En Gedi,24
03/02/2016,Haifa,19
03/02/2016,Jerusalem,16
03/02/2016,Lod,22
03/02/2016,Mizpe Ramon,15
03/02/2016,Nazareth,18
03/02/2016,Qazrin,19
03/02/2016,Tel Aviv,21
03/02/2016,Tiberias,20
03/02/2016,Zefat,14
04/02/2016,Afula,23
04/02/2016,Ashdod,22
04/02/2016,Beer Sheva,24
04/02/2016,Bet Shean,24
04/02/2016,Elat,28
04/02/2016,En Gedi,27
04/02/2016,Haifa,21
04/02/2016,Jerusalem,18
04/02/2016,Lod,24
04/02/2016,Mizpe Ramon,19
04/02/2016,Nazareth,19
04/02/2016,Qazrin,21
04/02/2016,Tel Aviv,24
04/02/2016,Tiberias,24
04/02/2016,Zefat,15
05/02/2016,Afula,24
05/02/2016,Ashdod,22
05/02/2016,Beer Sheva,26
05/02/2016,Bet Shean,24
05/02/2016,Elat,25
05/02/2016,En Gedi,24
05/02/2016,Haifa,22
05/02/2016,Jerusalem,22
05/02/2016,Lod,25
05/02/2016,Mizpe Ramon,24
05/02/2016,Nazareth,21
05/02/2016,Qazrin,22
05/02/2016,Tel Aviv,25
05/02/2016,Tiberias,25
05/02/2016,Zefat,18
06/02/2016,Afula,17
06/02/2016,Ashdod,17
06/02/2016,Beer Sheva,17
06/02/2016,Bet Shean,19
06/02/2016,Elat,24
06/02/2016,En Gedi,24
06/02/2016,Haifa,15
06/02/2016,Jerusalem,11
06/02/2016,Lod,18
06/02/2016,Mizpe Ramon,14
06/02/2016,Nazareth,12
06/02/2016,Qazrin,13
06/02/2016,Tel Aviv,17
06/02/2016,Tiberias,17
06/02/2016,Zefat,8
07/02/2016,Afula,14
07/02/2016,Ashdod,15
07/02/2016,Beer Sheva,13
07/02/2016,Bet Shean,14
07/02/2016,Elat,19
07/02/2016,En Gedi,19
07/02/2016,Haifa,13
07/02/2016,Jerusalem,6
07/02/2016,Lod,14
07/02/2016,Mizpe Ramon,9
07/02/2016,Nazareth,13
07/02/2016,Qazrin,10
07/02/2016,Tel Aviv,15
07/02/2016,Tiberias,14
07/02/2016,Zefat,7
08/02/2016,Afula,17
08/02/2016,Ashdod,15
08/02/2016,Beer Sheva,15
08/02/2016,Bet Shean,16
08/02/2016,Elat,21
08/02/2016,En Gedi,20
08/02/2016,Haifa,15
08/02/2016,Jerusalem,9
08/02/2016,Lod,14
08/02/2016,Mizpe Ramon,12
08/02/2016,Nazareth,13
08/02/2016,Qazrin,11
08/02/2016,Tel Aviv,14
08/02/2016,Tiberias,16
08/02/2016,Zefat,8
09/02/2016,Afula,18
09/02/2016,Ashdod,18
09/02/2016,Beer Sheva,20
09/02/2016,Bet Shean,19
09/02/2016,Elat,24
09/02/2016,En Gedi,23
09/02/2016,Haifa,16
09/02/2016,Jerusalem,14
09/02/2016,Lod,20
09/02/2016,Mizpe Ramon,15
09/02/2016,Nazareth,15
09/02/2016,Qazrin,15
09/02/2016,Tel Aviv,20
09/02/2016,Tiberias,19
09/02/2016,Zefat,11
10/02/2016,Afula,18
10/02/2016,Ashdod,17
10/02/2016,Beer Sheva,15
10/02/2016,Bet Shean,20
10/02/2016,Elat,21
10/02/2016,En Gedi,21
10/02/2016,Haifa,17
10/02/2016,Jerusalem,14
10/02/2016,Lod,18
10/02/2016,Mizpe Ramon,13
10/02/2016,Nazareth,15
10/02/2016,Qazrin,16
10/02/2016,Tel Aviv,18
10/02/2016,Tiberias,21
10/02/2016,Zefat,11
11/02/2016,Afula,19
11/02/2016,Ashdod,17
11/02/2016,Beer Sheva,18
11/02/2016,Bet Shean,19
11/02/2016,Elat,23
11/02/2016,En Gedi,22
11/02/2016,Haifa,17
11/02/2016,Jerusalem,13
11/02/2016,Lod,18
11/02/2016,Mizpe Ramon,15
11/02/2016,Nazareth,16
11/02/2016,Qazrin,15
11/02/2016,Tel Aviv,17
11/02/2016,Tiberias,18
11/02/2016,Zefat,11
12/02/2016,Afula,22
12/02/2016,Ashdod,18
12/02/2016,Beer Sheva,22
12/02/2016,Bet Shean,22
12/02/2016,Elat,25
12/02/2016,En Gedi,23
12/02/2016,Haifa,19
12/02/2016,Jerusalem,17
12/02/2016,Lod,20
12/02/2016,Mizpe Ramon,18
12/02/2016,Nazareth,19
12/02/2016,Qazrin,19
12/02/2016,Tel Aviv,19
12/02/2016,Tiberias,21
12/02/2016,Zefat,14
13/02/2016,Afula,24
13/02/2016,Ashdod,19
13/02/2016,Beer Sheva,23
13/02/2016,Bet Shean,24
13/02/2016,Elat,27
13/02/2016,En Gedi,23
13/02/2016,Haifa,20
13/02/2016,Jerusalem,20
13/02/2016,Lod,22
13/02/2016,Mizpe Ramon,22
13/02/2016,Nazareth,21
13/02/2016,Qazrin,22
13/02/2016,Tel Aviv,21
13/02/2016,Tiberias,25
13/02/2016,Zefat,16
14/02/2016,Afula,25
14/02/2016,Ashdod,19
14/02/2016,Beer Sheva,25
14/02/2016,Bet Shean,24
14/02/2016,Elat,28
14/02/2016,En Gedi,23
14/02/2016,Haifa,22
14/02/2016,Jerusalem,22
14/02/2016,Lod,22
14/02/2016,Mizpe Ramon,21
14/02/2016,Nazareth,21
14/02/2016,Qazrin,21
14/02/2016,Tel Aviv,20
14/02/2016,Tiberias,24
14/02/2016,Zefat,20
15/02/2016,Afula,28
15/02/2016,Ashdod,22
15/02/2016,Beer Sheva,28
15/02/2016,Bet Shean,28
15/02/2016,Elat,30
15/02/2016,En Gedi,29
15/02/2016,Haifa,25
15/02/2016,Jerusalem,22
15/02/2016,Lod,29
15/02/2016,Mizpe Ramon,23
15/02/2016,Nazareth,25
15/02/2016,Qazrin,25
15/02/2016,Tel Aviv,28
15/02/2016,Tiberias,25
15/02/2016,Zefat,20
16/02/2016,Afula,28
16/02/2016,Ashdod,21
16/02/2016,Beer Sheva,30
16/02/2016,Bet Shean,30
16/02/2016,Elat,32
16/02/2016,En Gedi,30
16/02/2016,Haifa,21
16/02/2016,Jerusalem,23
16/02/2016,Lod,30
16/02/2016,Mizpe Ramon,24
16/02/2016,Nazareth,26
16/02/2016,Qazrin,26
16/02/2016,Tel Aviv,28
16/02/2016,Tiberias,27
16/02/2016,Zefat,21
17/02/2016,Afula,28
17/02/2016,Ashdod,23
17/02/2016,Beer Sheva,29
17/02/2016,Bet Shean,31
17/02/2016,Elat,33
17/02/2016,En Gedi,33
17/02/2016,Haifa,27
17/02/2016,Jerusalem,23
17/02/2016,Lod,31
17/02/2016,Mizpe Ramon,24
17/02/2016,Nazareth,26
17/02/2016,Qazrin,26
17/02/2016,Tel Aviv,28
17/02/2016,Tiberias,31
17/02/2016,Zefat,21
18/02/2016,Afula,26
18/02/2016,Ashdod,23
18/02/2016,Beer Sheva,30
18/02/2016,Bet Shean,29
18/02/2016,Elat,31
18/02/2016,En Gedi,29
18/02/2016,Haifa,26
18/02/2016,Jerusalem,24
18/02/2016,Lod,32
18/02/2016,Mizpe Ramon,25
18/02/2016,Nazareth,26
18/02/2016,Qazrin,26
18/02/2016,Tel Aviv,26
18/02/2016,Tiberias,28
18/02/2016,Zefat,21
19/02/2016,Afula,27
19/02/2016,Ashdod,25
19/02/2016,Beer Sheva,30
19/02/2016,Bet Shean,28
19/02/2016,Elat,31
19/02/2016,En Gedi,30
19/02/2016,Haifa,26
19/02/2016,Jerusalem,25
19/02/2016,Lod,30
19/02/2016,Mizpe Ramon,28
19/02/2016,Nazareth,25
19/02/2016,Qazrin,25
19/02/2016,Tel Aviv,28
19/02/2016,Tiberias,27
19/02/2016,Zefat,23
20/02/2016,Afula,22
20/02/2016,Ashdod,20
20/02/2016,Beer Sheva,22
20/02/2016,Bet Shean,23
20/02/2016,Elat,27
20/02/2016,En Gedi,27
20/02/2016,Haifa,18
20/02/2016,Jerusalem,16
20/02/2016,Lod,23
20/02/2016,Mizpe Ramon,21
20/02/2016,Nazareth,18
20/02/2016,Qazrin,20
20/02/2016,Tel Aviv,19
20/02/2016,Tiberias,25
20/02/2016,Zefat,18
21/02/2016,Afula,19
21/02/2016,Ashdod,18
21/02/2016,Beer Sheva,19
21/02/2016,Bet Shean,21
21/02/2016,Elat,26
21/02/2016,En Gedi,26
21/02/2016,Haifa,17
21/02/2016,Jerusalem,13
21/02/2016,Lod,21
21/02/2016,Mizpe Ramon,16
21/02/2016,Nazareth,16
21/02/2016,Qazrin,16
21/02/2016,Tel Aviv,18
21/02/2016,Tiberias,19
21/02/2016,Zefat,10
22/02/2016,Afula,17
22/02/2016,Ashdod,18
22/02/2016,Beer Sheva,15
22/02/2016,Bet Shean,17
22/02/2016,Elat,19
22/02/2016,En Gedi,21
22/02/2016,Haifa,16
22/02/2016,Jerusalem,9
22/02/2016,Lod,16
22/02/2016,Mizpe Ramon,11
22/02/2016,Nazareth,13
22/02/2016,Qazrin,11
22/02/2016,Tel Aviv,16
22/02/2016,Tiberias,17
22/02/2016,Zefat,8
23/02/2016,Afula,19
23/02/2016,Ashdod,19
23/02/2016,Beer Sheva,17
23/02/2016,Bet Shean,18
23/02/2016,Elat,23
23/02/2016,En Gedi,20
23/02/2016,Haifa,16
23/02/2016,Jerusalem,11
23/02/2016,Lod,18
23/02/2016,Mizpe Ramon,13
23/02/2016,Nazareth,15
23/02/2016,Qazrin,13
23/02/2016,Tel Aviv,18
23/02/2016,Tiberias,19
23/02/2016,Zefat,12
24/02/2016,Afula,21
24/02/2016,Ashdod,19
24/02/2016,Beer Sheva,23
24/02/2016,Bet Shean,23
24/02/2016,Elat,27
24/02/2016,En Gedi,23
24/02/2016,Haifa,20
24/02/2016,Jerusalem,17
24/02/2016,Lod,20
24/02/2016,Mizpe Ramon,18
24/02/2016,Nazareth,19
24/02/2016,Qazrin,18
24/02/2016,Tel Aviv,19
24/02/2016,Tiberias,21
24/02/2016,Zefat,15
25/02/2016,Afula,24
25/02/2016,Ashdod,20
25/02/2016,Beer Sheva,26
25/02/2016,Bet Shean,25
25/02/2016,Elat,31
25/02/2016,En Gedi,25
25/02/2016,Haifa,22
25/02/2016,Jerusalem,21
25/02/2016,Lod,25
25/02/2016,Mizpe Ramon,21
25/02/2016,Nazareth,23
25/02/2016,Qazrin,22
25/02/2016,Tel Aviv,22
25/02/2016,Tiberias,26
25/02/2016,Zefat,17
26/02/2016,Afula,27
26/02/2016,Ashdod,19
26/02/2016,Beer Sheva,25
26/02/2016,Bet Shean,28
26/02/2016,Elat,31
26/02/2016,En Gedi,27
26/02/2016,Haifa,25
26/02/2016,Jerusalem,21
26/02/2016,Lod,22
26/02/2016,Mizpe Ramon,24
26/02/2016,Nazareth,24
26/02/2016,Qazrin,25
26/02/2016,Tel Aviv,20
26/02/2016,Tiberias,28
26/02/2016,Zefat,19
27/02/2016,Afula,24
27/02/2016,Ashdod,19
27/02/2016,Beer Sheva,21
27/02/2016,Bet Shean,26
27/02/2016,Elat,30
27/02/2016,En Gedi,26
27/02/2016,Haifa,20
27/02/2016,Jerusalem,20
27/02/2016,Lod,21
27/02/2016,Mizpe Ramon,21
27/02/2016,Nazareth,21
27/02/2016,Qazrin,23
27/02/2016,Tel Aviv,20
27/02/2016,Tiberias,26
27/02/2016,Zefat,20
28/02/2016,Afula,25
28/02/2016,Ashdod,20
28/02/2016,Beer Sheva,26
28/02/2016,Bet Shean,26
28/02/2016,Elat,30
28/02/2016,En Gedi,28
28/02/2016,Haifa,19
28/02/2016,Jerusalem,21
28/02/2016,Lod,22
28/02/2016,Mizpe Ramon,21
28/02/2016,Nazareth,23
28/02/2016,Qazrin,22
28/02/2016,Tel Aviv,20
28/02/2016,Tiberias,24
28/02/2016,Zefat,18
29/02/2016,Afula,27
29/02/2016,Ashdod,20
29/02/2016,Beer Sheva,26
29/02/2016,Bet Shean,27
29/02/2016,Elat,30
29/02/2016,En Gedi,26
29/02/2016,Haifa,26
29/02/2016,Jerusalem,24
29/02/2016,Lod,27
29/02/2016,Mizpe Ramon,23
29/02/2016,Nazareth,26
29/02/2016,Qazrin,27
29/02/2016,Tel Aviv,28
29/02/2016,Tiberias,28
29/02/2016,Zefat,25
01/03/2016,Afula,28
01/03/2016,Ashdod,29
01/03/2016,Beer Sheva,30
01/03/2016,Bet Shean,30
01/03/2016,Elat,35
01/03/2016,En Gedi,34
01/03/2016,Haifa,26
01/03/2016,Jerusalem,24
01/03/2016,Lod,30
01/03/2016,Mizpe Ramon,26
01/03/2016,Nazareth,25
01/03/2016,Qazrin,26
01/03/2016,Tel Aviv,31
01/03/2016,Tiberias,28
01/03/2016,Zefat,21
02/03/2016,Afula,26
02/03/2016,Ashdod,30
02/03/2016,Beer Sheva,31
02/03/2016,Bet Shean,29
02/03/2016,Elat,33
02/03/2016,En Gedi,31
02/03/2016,Haifa,25
02/03/2016,Jerusalem,24
02/03/2016,Lod,28
02/03/2016,Mizpe Ramon,26
02/03/2016,Nazareth,24
02/03/2016,Qazrin,24
02/03/2016,Tel Aviv,30
02/03/2016,Tiberias,30
02/03/2016,Zefat,19
03/03/2016,Afula,21
03/03/2016,Ashdod,19
03/03/2016,Beer Sheva,18
03/03/2016,Bet Shean,23
03/03/2016,Elat,27
03/03/2016,En Gedi,26
03/03/2016,Haifa,19
03/03/2016,Jerusalem,14
